Transform3D(0.758776, 0.5964, -0.22286, -0.559722, 0.458309, -0.684546, -0.304083, 0.644389, 0.693685, -0.134086, 0.666889, -0.570239)
Transform3D(0.758521, 0.597224, -0.221507, -0.558694, 0.457012, -0.686284, -0.306599, 0.644548, 0.692399, -0.134392, 0.667176, -0.570066)
Transform3D(0.758466, 0.598199, -0.219033, -0.556821, 0.455744, -0.68869, -0.310122, 0.644541, 0.690796, -0.134687, 0.667406, -0.569871)
Transform3D(0.758429, 0.599136, -0.216568, -0.554908, 0.454481, -0.691108, -0.31362, 0.644562, 0.689156, -0.134585, 0.667376, -0.56983)
Transform3D(0.757208, 0.600891, -0.215977, -0.555208, 0.452746, -0.692026, -0.316031, 0.64415, 0.68842, -0.134556, 0.666964, -0.569875)
Transform3D(0.756574, 0.601991, -0.215128, -0.555371, 0.45248, -0.692071, -0.317261, 0.643309, 0.68864, -0.134349, 0.666282, -0.569947)
Transform3D(0.756415, 0.60257, -0.214055, -0.555089, 0.452729, -0.692134, -0.318132, 0.642591, 0.688911, -0.134031, 0.665317, -0.569955)
Transform3D(0.756288, 0.603092, -0.213026, -0.554772, 0.452937, -0.692253, -0.318987, 0.641953, 0.68911, -0.13386, 0.664895, -0.569927)
Transform3D(0.755898, 0.603627, -0.212895, -0.555274, 0.45315, -0.691702, -0.319036, 0.641301, 0.689705, -0.133938, 0.664586, -0.569867)
Transform3D(0.756082, 0.603665, -0.212131, -0.555013, 0.453926, -0.691395, -0.319057, 0.640717, 0.690247, -0.134045, 0.664344, -0.569798)
Transform3D(0.756261, 0.603701, -0.211381, -0.554732, 0.454639, -0.691146, -0.31912, 0.640177, 0.690727, -0.134006, 0.664306, -0.570009)
Transform3D(0.755265, 0.604662, -0.212199, -0.55635, 0.454554, -0.689879, -0.318661, 0.639329, 0.691742, -0.134112, 0.664177, -0.570047)
Transform3D(0.754493, 0.605455, -0.212686, -0.557456, 0.454358, -0.689103, -0.318557, 0.638718, 0.692365, -0.134233, 0.664053, -0.570078)
Transform3D(0.753695, 0.606281, -0.213167, -0.558584, 0.454151, -0.688314, -0.318471, 0.638081, 0.693002, -0.134002, 0.663807, -0.570413)
